titel,pdf,urn,sou-nr,full_titel
1961:3,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2120597.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614922,1961:3,"Effektivare prisövervakning betänkande",
1961:4,https://weburn.kb.se/sou/215/urn-nbn-se-kb-digark-2144857.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614929,1961:4,"Automatisk databehandling inom folkbokförings- och uppbördsväsendet. [D. 1]",
1961:5,https://weburn.kb.se/sou/212/urn-nbn-se-kb-digark-2113295.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614932,1961:5,"Begravningsplatser och gravar förslag",
1961:6,https://weburn.kb.se/sou/215/urn-nbn-se-kb-digark-2146587.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614935,1961:6,"Underrätterna betänkande",
1961:7,https://weburn.kb.se/sou/218/urn-nbn-se-kb-digark-2174951.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-626372,1961:7,"Enhetlig ledning av krigsmakten 1960 års försvarsledningsutrednings betänkande 1",
1961:8,https://weburn.kb.se/sou/212/urn-nbn-se-kb-digark-2117440.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614946,1961:8,"Om läkarbehov och läkartillgång betänkande",
1961:9,https://weburn.kb.se/sou/214/urn-nbn-se-kb-digark-2135609.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628855,1961:9,"Principer för en ny kommunindelning betänkande",
1961:10,https://weburn.kb.se/sou/212/urn-nbn-se-kb-digark-2117929.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614950,1961:10,"Preliminär nationalbudget för år 1961.",
1961:11,https://weburn.kb.se/sou/215/urn-nbn-se-kb-digark-2147402.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614959,1961:11,"Den allmänna brottsregistreringen betänkande",
1961:12,https://weburn.kb.se/sou/212/urn-nbn-se-kb-digark-2113543.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-631199,1961:12,"Statliga belastningsbestämmelser av år 1960 för byggnadsverk (1960 års belastningsbestämmelser)",
1961:13,https://weburn.kb.se/sou/212/urn-nbn-se-kb-digark-2113719.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614973,1961:13,"Lantbrukets yrkesskolor betänkande",
1961:14,https://weburn.kb.se/sou/216/urn-nbn-se-kb-digark-2158464.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-631202,1961:14,"Pensionsstiftelser. 1",
1961:15,https://weburn.kb.se/sou/215/urn-nbn-se-kb-digark-2149845.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614984,1961:15,"Polisens brottsbekämpande verksamhet betänkande",
1961:16,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2124565.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614993,1961:16,"Kriminalvård i frihet betänkande",
1961:17,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2120595.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-603650,1961:17,"1957 års skolberedning. 5",
1961:18,https://weburn.kb.se/sou/212/urn-nbn-se-kb-digark-2117920.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615006,1961:18,"Totalförsvarets upplysningsverksamhet betänkande",
1961:19,https://weburn.kb.se/sou/212/urn-nbn-se-kb-digark-2117450.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615015,1961:19,"Byggnadsindustrins arbetskraft utredning",
1961:20,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2120875.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615019,1961:20,"Vissa frågor rörande allmänna val betänkande",
1961:21,https://weburn.kb.se/sou/613/urn-nbn-se-kb-digark-6127678.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-631191,1961:21,"Författningsutredningen. 5",
1961:22,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2122493.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615043,1961:22,"Den svenska utvecklingshjälpens administration betänkande",
1961:23,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218296.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615094,1961:23,"Svensk trafikpolitik 1,betänkande.",
1961:24,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2122957.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615095,1961:24,"Svensk trafikpolitik 2,betänkande. Riktlinjer och handlingsprogram: Bilagor",
1961:25,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2122534.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615109,1961:25,"Flygbuller som samhällsproblem betänkande",
1961:26,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2122492.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615113,1961:26,"Reviderad nationalbudget för år 1961.",
1961:27,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2122592.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615146,1961:27,"Skifferoljefrågan betänkande",
1961:28,https://weburn.kb.se/sou/216/urn-nbn-se-kb-digark-2153056.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615152,1961:28,"Kungl. teatern",
1961:29,https://weburn.kb.se/sou/214/urn-nbn-se-kb-digark-2135593.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615157,1961:29,"Förtidspensionering och sjukpenningförsäkring m. m. förslag",
1961:30,https://weburn.kb.se/sou/215/urn-nbn-se-kb-digark-2146586.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-603656,1961:30,"1957 års skolberedning. 6",
1961:31,https://weburn.kb.se/sou/213/urn-nbn-se-kb-digark-2124697.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-603655,1961:31,"1957 års skolberedning. 7",
1961:32,https://weburn.kb.se/sou/237/urn-nbn-se-kb-digark-2361008.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615162,1961:32,"Handläggningen av bostadslån enklare regler och minskad organisation : betänkande",
1961:33,https://weburn.kb.se/sou/228/urn-nbn-se-kb-digark-2273704.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615185,1961:33,"Redareansvarets begränsning betänkande",
1961:34,https://weburn.kb.se/sou/237/urn-nbn-se-kb-digark-2361012.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615191,1961:34,"Huvudmannaskapet för polisväsendet m. m. principbetänkande",
1961:35,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2229622.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615195,1961:35,"Ändamålsenliga studentbostäder",
1961:36,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2229194.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615197,1961:36,"Tandsjukvården vid de odontologiska läroanstalterna betänkande",
1961:37,https://weburn.kb.se/sou/218/urn-nbn-se-kb-digark-2174940.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615200,1961:37,"Stämpel- och expeditionsavgifter betänkande med författningsförslag",
1961:38,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2180422.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615211,1961:38,"Stöd åt barnaföderskor betänkande 1",
1961:39,https://weburn.kb.se/sou/216/urn-nbn-se-kb-digark-2155761.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615215,1961:39,"Lag om allmän försäkring, m. m. förslag",
1961:40,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2160085.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615217,1961:40,"Länsindelningen inom Stockholms- och Göteborgsområdena betänkande",
1961:41,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2163267.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615219,1961:41,"Reviderad giftlagstiftning betänkande",
1961:42,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2163261.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615221,1961:42,"Mål och medel i stabiliseringspolitiken betänkande",
1961:43,https://weburn.kb.se/sou/216/urn-nbn-se-kb-digark-2157172.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615225,1961:43,"Användningen av August Abrahamsons stiftelse å Nääs betänkande",
1961:44,https://weburn.kb.se/sou/216/urn-nbn-se-kb-digark-2158120.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615227,1961:44,"Folkbildningsarbete och ungdomsverksamhet överväganden och förslag",
1961:45,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2162271.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615230,1961:45,"Djurplågeri, vetenskapliga djurförsök samt djurskyddsordning betänkande",
1961:46,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2162181.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615233,1961:46,"Boxningssportens skadeverkningar utredning",
1961:47,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2180702.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615236,1961:47,"Reviderad hyreslag förslag",
1961:48,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218286.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615242,1961:48,"Byggnadsstyrelsens organisation betänkande",
1961:49,https://weburn.kb.se/sou/218/urn-nbn-se-kb-digark-2175303.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615245,1961:49,"Förslag till jordförvärvslag m. m.",
1961:50,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2182281.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615252,1961:50,"Den svenska utvecklingshjälpen expertrekrytering och stipendiatmottagning : betänkande",
1961:51,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2181050.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615255,1961:51,"Bostadsbyggnadsbehovet preliminär uppskattning",
1961:52,https://weburn.kb.se/sou/218/urn-nbn-se-kb-digark-2171452.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615259,1961:52,"Förenklingar i utskänkningslagstiftningen. Ciderfrågan betänkande",
1961:53,https://weburn.kb.se/sou/257/urn-nbn-se-kb-digark-2568799.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-217868,1961:53,"Utsökningsrätt 1,förslag.",
1961:54,https://weburn.kb.se/sou/251/urn-nbn-se-kb-digark-2502949.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628830,1961:54,"Ersättning för kommunala förtroendeuppdrag.",
1961:55,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2189621.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615296,1961:55,"Effektivare arbetsförmedling för tjänstemän utredning",
1961:56,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2189572.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615300,1961:56,"Ändrade bestämmelser om ackumulerad inkomst förslag",
1961:57,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2191471.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615305,1961:57,"Sociallagstiftningen och de s. k. beroende uppdragstagarna betänkande",
1961:58,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2191470.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615314,1961:58,"Översyn av nykterhetsvården betänkande",
1961:59,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2192347.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615317,1961:59,"Klubbverksamheten bland ungdomen på landsbygden betänkande",
1961:60,https://weburn.kb.se/sou/252/urn-nbn-se-kb-digark-2516032.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615320,1961:60,"Den automatiska databehandlingens teknik",
1961:61,https://weburn.kb.se/sou/253/urn-nbn-se-kb-digark-2520744.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615324,1961:61,"Beräkning av pensionsreserv 1961 års lagstiftning om pensionsstiftelser : rådgivning från Pensionsstiftelseutredningen",
1961:62,https://weburn.kb.se/sou/253/urn-nbn-se-kb-digark-2520745.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615332,1961:62,"Kostnader för övergång till högertrafik betänkande",
1961:63,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2161741.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615334,1961:63,"Läkaren i totalförsvaret betänkande",
1961:64,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2180411.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615338,1961:64,"Långfristiga krediter till mindre företag betänkande",
1961:65,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2180921.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615344,1961:65,"Sparbankstillsynen betänkande",
1961:66,https://weburn.kb.se/sou/251/urn-nbn-se-kb-digark-2503777.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-626371,1961:66,"Totalförsvarets högsta ledning 1960 års försvarsledningsutrednings betänkande 2",
1961:67,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2180991.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615349,1961:67,"Betänkande med förslag till ändringar i jaktlagstiftningen",
1962:1,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2165688.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615672,1962:1,"Skogstillgångarna i Jämtlands län förslag till bättre utnyttjande",
1962:2,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2165686.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615676,1962:2,"Yrkesutbildningen på trädgårdsområdet betänkande",
1962:3,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2185292.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615681,1962:3,"Totalförsvarets personalfrågor värnpliktskontingenter, personalplanering och befattningsanalyser : betänkande",
1962:4,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2165698.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8210338,1962:4,"Arbetsuppgifter och utbildning för viss sjukvårdspersonal betänkande",
1962:5,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2189318.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-830415,1962:5,"Studiesociala utredningen. 1",
1962:6,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2185302.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615691,1962:6,"Statsbidrag till enskild väghållning, m. m. betänkande",
1962:7,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2165646.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628831,1962:7,"Kommunal beredskap.",
1962:8,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2161730.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615694,1962:8,"Finansplan för budgetåret 1962/63 samt preliminär nationalbudget för år 1962.",
1962:9,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2185317.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8210339,1962:9,"Städernas särskilda rättigheter och skyldigheter i förhållande till staten betänkande",
1962:10,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2189574.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8210340,1962:10,"Svensk ekonomi 1960-1965 betänkande",
1962:11,https://weburn.kb.se/sou/251/urn-nbn-se-kb-digark-2503779.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615701,1962:11,"Svensk ekonomi 1960-1965 betänkande. Bilagor 1-5",
1962:12,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2189575.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8210341,1962:12,"Aspekter på utvecklingsbiståndet promemorior",
1962:13,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2163259.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615711,1962:13,"Skärpta regler för rusdrycksinköp betänkande",
1962:14,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2192679.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628858,1962:14,"Atomansvarighet. 2",
1962:15,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2192680.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615714,1962:15,"Den allmänna näringslagstiftningen förslag",
1962:16,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218288.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615721,1962:16,"Korrespondensundervisningen inom skolväsendet betänkande",
1962:17,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218276.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-632565,1962:17,"Arbetstidsförkortningens omfattning och utläggning",
1962:18,https://weburn.kb.se/sou/217/urn-nbn-se-kb-digark-2165678.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-614930,1962:18,"Automatisk databehandling inom folkbokförings- och uppbördsväsendet. D. 2",
1962:19,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2180210.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615722,1962:19,"Utlandssvenskars deltagande i allmänna val betänkande",
1962:20,https://weburn.kb.se/sou/218/urn-nbn-se-kb-digark-2174991.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615725,1962:20,"Nedre justitierevisionens arbetsorganisation betänkande",
1962:21,https://weburn.kb.se/sou/233/urn-nbn-se-kb-digark-2329795.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628839,1962:21,"Kommunalt stöd åt studerande från utvecklingsländerna.",
1962:22,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2223274.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615727,1962:22,"Samhällsfarlig asocialitet betänkande",
1962:23,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2198525.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628819,1962:23,"Besparingar inom försvaret 2,betänkande.",
1962:24,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2192352.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8210685,1962:24,"Expropriation för sanering av historiskt eller kulturhistoriskt värdefull bebyggelse Expropriationsutredningens betänkande 1",
1962:25,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2222430.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615728,1962:25,"Reviderad nationalbudget för år 1962.",
1962:26,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2220298.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615730,1962:26,"Avgiftsbelagda trafikanläggningar betänkande",
1962:27,https://weburn.kb.se/sou/228/urn-nbn-se-kb-digark-2274729.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615734,1962:27,"Radions juridiska ansvar förslag till lag om ansvarighet för innehållet i rundradiosändningar m. m. : betänkande",
1962:28,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2198516.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615736,1962:28,"Skolväsendets centrala ledning betänkande",
1962:29,https://weburn.kb.se/sou/228/urn-nbn-se-kb-digark-2274720.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615741,1962:29,"Säkerhetsinspektion av motorfordon och släpvagnar betänkande",
1962:30,https://weburn.kb.se/sou/219/urn-nbn-se-kb-digark-2189579.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615745,1962:30,"Arbetstidsreglering för militär och civilmilitär personal försöksverksamhet avseende arbetstidsreglering för viss militär och civilmilitär personal samt riktlinjer för arbetstidsreglering för viss militär verksamhet : redogörelse och förslag",
1962:31,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2194614.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615755,1962:31,"Stadshypoteks- och bostadskreditinstitutionerna organisation och verksamhet : betänkande",
1962:32,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2197987.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8210343,1962:32,"Automatisk databehandling betänkande",
1962:33,https://weburn.kb.se/sou/268/urn-nbn-se-kb-digark-2673898.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-631197,1962:33,"Veterinärmedicinsk forskning och undervisning D. 1betänkande.",
1962:34,https://weburn.kb.se/sou/224/urn-nbn-se-kb-digark-2230549.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615769,1962:34,"Försvarsmedicinsk forskning i totalförsvaret betänkande med förslag",
1962:35,https://weburn.kb.se/sou/267/urn-nbn-se-kb-digark-2666285.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615096,1962:35,"Svensk trafikpolitik 3,betänkande.",
1962:36,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218293.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615774,1962:36,"Naturen och samhället betänkande",
1962:37,https://weburn.kb.se/sou/256/urn-nbn-se-kb-digark-2554227.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628841,1962:37,"Byggnadsstyrelsens arbetsuppgifter och personalorganisation betänkande 2",
1962:38,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2216392.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628840,1962:38,"Utbildning av sjukvårdsadministratörer betänkande 2",
1962:39,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2190243.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615779,1962:39,"Ortsprisindex betänkande",
1962:40,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2194612.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615786,1962:40,"Beredskapslagring av olja 1963-1969 betänkande",
1962:41,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2219687.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615796,1962:41,"Mål och medel i stabiliseringspolitiken remissyttranden över Stabiliseringsutredningens betänkande",
1962:42,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218275.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615800,1962:42,"Avdrag för representationskostnader, m. m. betänkande",
1962:43,https://weburn.kb.se/sou/220/urn-nbn-se-kb-digark-2197509.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615806,1962:43,"Socionomutbildningen betänkande",
1962:44,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2211892.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615809,1962:44,"Ny semesterlag betänkande med förslag",
1962:45,https://weburn.kb.se/sou/224/urn-nbn-se-kb-digark-2231606.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615827,1962:45,"Jordbrukstekniska institutet och Statens forskningsanstalt för lantmannabyggnader betänkande",
1962:46,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2216389.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615831,1962:46,"Vägväsendets distriktsorganisation betänkande",
1962:47,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218287.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628842,1962:47,"Beskattning av traktamenten m. m. Lönebeskattningsutredningens betänkande 1",
1962:48,https://weburn.kb.se/sou/257/urn-nbn-se-kb-digark-2567183.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615835,1962:48,"Rasriskerna i Götaälvdalen betänkande",
1962:49,https://weburn.kb.se/sou/221/urn-nbn-se-kb-digark-2208321.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615842,1962:49,"Bevakning, avskrivning och eftergift av kronans fordringar förslag",
1962:50,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218277.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615852,1962:50,"Utbildning av arbetsterapeuter betänkande",
1962:51,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2223629.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615853,1962:51,"Lärare och handledare för det fria och frivilliga musikbildningsarbetet betänkande",
1962:52,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2222429.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615856,1962:52,"Postverkets organisation betänkande",
1962:53,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2216391.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-631164,1962:53,"Öresundsförbindelsen D. 1,betänkande.",
1962:54,https://weburn.kb.se/sou/246/urn-nbn-se-kb-digark-2454883.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-631165,1962:54,"Öresundsförbindelsen D. 2,betänkande.",
1962:55,https://weburn.kb.se/sou/224/urn-nbn-se-kb-digark-2232190.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615871,1962:55,"Tendenserna på akademikernas arbetsmarknad fram till mitten av 1970-talet statistiska sammanställningar",
1962:56,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218285.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615877,1962:56,"Förmåner i frivilligt instruktörsarbete inom krigsmakten betänkande",
1962:57,https://weburn.kb.se/sou/223/urn-nbn-se-kb-digark-2222431.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-609017,1962:57,"Barnanstaltsutredningens betänkande. 1",
1962:58,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218295.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628844,1962:58,"Social beredskap Socialberedskapskommitténs betänkande 1 och 2",
1962:59,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2218294.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615882,1962:59,"Internationella skattefrågor betänkande",
1963:1,https://weburn.kb.se/sou/236/urn-nbn-se-kb-digark-2352030.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-615889,1963:1,"En teknisk institution inom Stockholms universitet.",
1963:2,https://weburn.kb.se/sou/224/urn-nbn-se-kb-digark-2232970.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-628832,1963:2,"Kommunalförbundens lånerätt.",
