titel,pdf,urn,sou-nr,full_titel
1922:20,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1915873.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483863,1922:20,"Mellanhandssakkunniges betänkande angående olägenheterna vid mellanhandssystemet inom livsmedelshandeln.",
1922:21 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5798224.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417751,1922:21 första serien,"Utlåtande angående järnvägsfrakternas reglering",
1922:21,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892049.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220808,1922:21,"Om röstsammanräkning vid kommunala val enligt lagarna den 9 juni 1922 promemoria",
1922:22 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5796416.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8207459,1922:22 första serien,"Ortnamnen i Värmlands län. D. 7",
1922:22,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2027170.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-851775,1922:22,"Förslag till kolonisation å kronoparker i Norrland och Dalarna jämte förslag dels till utsträckt tillämpande av intensivt skogsbruk å de norrländska kronoparkerna, dels till kraftigare befrämjande av egnahemsbildning å enskild jord i Norrland",
1922:23 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5805866.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1482084,1922:23 första serien,"Järnvägsstyrelsens skrivelse till Kungl. Maj:t den 9 mars 1922 med yttrande över Ostkustbanekommitténs betänkande.",
1922:23,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2027851.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483865,1922:23,"Betänkande och förslag angående utbildningskurser vid Tullverket",
1922:24 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5796189.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1471241,1922:24 första serien,"Utredning angående inrättandet av ett svenskt statslotteri",
1922:24,https://weburn.kb.se/sou/202/urn-nbn-se-kb-digark-2017723.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483866,1922:24,"Utredning rörande den s.k. Nyköpings kanal",
1922:25 första serien,https://weburn.kb.se/sou/580/urn-nbn-se-kb-digark-5799976.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1285687,1922:25 första serien,"Lekmannaelementets användande och ställning inom civilprocessen i skilda länder",
1922:25,https://weburn.kb.se/sou/203/urn-nbn-se-kb-digark-2021968.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220809,1922:25,"Förslag till författningar angående handel med och import av utsädesfrö ävensom till omorganisation av frökontrollverksamheten m. m.",
1922:26 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5800387.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1470267,1922:26 första serien,"Betänkande och förslag rörande internering av farliga återfallsförbrytare",
1922:26,https://weburn.kb.se/sou/202/urn-nbn-se-kb-digark-2017724.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483868,1922:26,"Utkast till lag om visst tryggande av byggnadsborgenärers fordringar m. m.",
1922:27 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5800474.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1476613,1922:27 första serien,"Ostkustbanekommitténs promemoria med anledning av Järnvägsstyrelsens yttrande den 9 mars 1922 över kommitténs betänkande den 3 februari 1922.",
